"Notes","Census Division","Census Division Code","Year","Year Code","Month","Month Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"Division 1: New England","CENS-D1","2005","2005","Sep., 2005","2005/09","Male","M",83,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2005","2005","Oct., 2005","2005/10","Female","F",64,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2005","2005","Oct., 2005","2005/10","Male","M",106,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2005","2005","Nov., 2005","2005/11","Female","F",45,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2005","2005","Nov., 2005","2005/11","Male","M",90,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2005","2005","Dec., 2005","2005/12","Female","F",51,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2005","2005","Dec., 2005","2005/12","Male","M",93,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Jan., 2006","2006/01","Female","F",42,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Jan., 2006","2006/01","Male","M",91,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Feb., 2006","2006/02","Female","F",51,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Feb., 2006","2006/02","Male","M",108,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Mar., 2006","2006/03","Female","F",52,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Mar., 2006","2006/03","Male","M",125,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Apr., 2006","2006/04","Female","F",54,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Apr., 2006","2006/04","Male","M",107,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","May, 2006","2006/05","Female","F",60,Not Applicable,Not Applicable
