"Notes","Census Region","Census Region Code","Year","Year Code","Month","Month Code","Single-Year Ages","Single-Year Ages Code",Deaths,Population,Crude Rate
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","51 years","51",260,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","52 years","52",264,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","53 years","53",251,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","54 years","54",253,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","55 years","55",315,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","56 years","56",357,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","57 years","57",300,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","58 years","58",329,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","59 years","59",358,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","60 years","60",367,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","61 years","61",381,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","62 years","62",406,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","63 years","63",461,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","64 years","64",481,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","65 years","65",492,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","66 years","66",528,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","67 years","67",657,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","68 years","68",676,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","69 years","69",733,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","70 years","70",827,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","71 years","71",901,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","72 years","72",982,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","73 years","73",1028,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","74 years","74",1165,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","75 years","75",1173,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","76 years","76",1253,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","77 years","77",1273,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","78 years","78",1384,Not Applicable,Not Applicable
