Notes,Census Region,Census Region Code,Year,Year Code,Month,Month Code,Five-Year Age Groups,Five-Year Age Groups Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,45-49 years,45-49,Male,M,619,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,50-54 years,50-54,Female,F,475,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,50-54 years,50-54,Male,M,760,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,15-19 years,15-19,Female,F,40,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,15-19 years,15-19,Male,M,107,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,20-24 years,20-24,Female,F,51,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,20-24 years,20-24,Male,M,144,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,25-29 years,25-29,Female,F,53,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,25-29 years,25-29,Male,M,155,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,30-34 years,30-34,Female,F,107,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,30-34 years,30-34,Male,M,242,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,35-39 years,35-39,Female,F,191,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,35-39 years,35-39,Male,M,337,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,40-44 years,40-44,Female,F,283,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,40-44 years,40-44,Male,M,473,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,45-49 years,45-49,Female,F,340,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,45-49 years,45-49,Male,M,630,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,50-54 years,50-54,Female,F,506,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,50-54 years,50-54,Male,M,809,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,15-19 years,15-19,Female,F,37,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,15-19 years,15-19,Male,M,119,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,20-24 years,20-24,Female,F,52,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,20-24 years,20-24,Male,M,175,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,25-29 years,25-29,Female,F,58,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,25-29 years,25-29,Male,M,159,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,30-34 years,30-34,Female,F,110,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,30-34 years,30-34,Male,M,234,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,35-39 years,35-39,Female,F,194,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,35-39 years,35-39,Male,M,312,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,40-44 years,40-44,Female,F,296,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,40-44 years,40-44,Male,M,521,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,45-49 years,45-49,Female,F,387,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,45-49 years,45-49,Male,M,634,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,50-54 years,50-54,Female,F,558,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Oct., 1999",1999/10,50-54 years,50-54,Male,M,895,Not Applicable,Not Applicable
