"Region","Sex","Age","Age.Group.Code","Year","Deaths","n_months","Population","Rate","socio_score","rate_health_care_coverage_ccf","rate_alochol_consum_ccf","Total_Population"
"South","Female",20,"20-24",2011,279,12,4062584,6.86755030788287e-05,109.353100482642,-4.76288261584156,3.27108356649789,116006522
"South","Female",20,"20-24",2012,269,12,4144881,6.48993300410796e-05,109.353100482642,3.0535838456337,-4.61037832480596,117241208
"South","Female",20,"20-24",2013,286,12,4178462,6.84462369168369e-05,109.353100482642,0.514617108699269,0.92826368518525,118364400
"South","Female",20,"20-24",2014,278,12,4182829,6.64621958009758e-05,109.353100482642,3.33254631658437,0.217415707658539,119624037
"South","Female",20,"20-24",2015,328,12,4137985,7.92656329107041e-05,110.532651392005,-0.610919066586987,0.77193310236084,120997341
"South","Female",20,"20-24",2016,399,12,4075997,9.78901603705793e-05,110.532651392005,-0.170696698190355,0.500086591845701,122351760
"South","Female",20,"20-24",2017,506,12,4035498,0.000125387250842399,110.532651392005,-1.44676045252743,0.103453677669997,123542189
"South","Female",20,"20-24",2018,405,12,4015785,0.000100852012744706,110.532651392005,1.04639566328855,-1.02147989757838,124569433
"South","Female",20,"20-24",2019,396,12,4010458,9.87418394607299e-05,110.532651392005,-0.942399543903406,0.65694406044706,125580448
"South","Female",25,"25-29",2005,307,12,3577385,8.58168746165146e-05,109.11288991517,0.0803224629598199,0.0473991449783215,107411036
"South","Female",25,"25-29",2006,390,12,3714081,0.000105005787434361,109.11288991517,0.844165789508987,-1.0791602168847,108930843
"South","Female",25,"25-29",2007,435,12,3809173,0.000114198016209818,109.11288991517,-0.70380473604271,1.83713210407623,110573419
"South","Female",25,"25-29",2008,417,12,3874861,0.00010761676354326,109.11288991517,0.509731242693434,-1.25320762206405,112021022
"South","Female",25,"25-29",2009,436,12,3908162,0.000111561393821443,109.11288991517,-0.785201093870768,0.451063917619997,113317879
"South","Female",25,"25-29",2010,462,12,3915936,0.000117979456252605,109.353100482642,0.845943519749667,0.533433528433129,114866680
"South","Female",25,"25-29",2011,469,12,3939939,0.000119037375959374,109.353100482642,-4.76288261584156,3.27108356649789,116006522
"South","Female",25,"25-29",2012,473,12,3964080,0.000119321507134064,109.353100482642,3.0535838456337,-4.61037832480596,117241208
"South","Female",25,"25-29",2013,460,12,3998165,0.000115052780463037,109.353100482642,0.514617108699269,0.92826368518525,118364400
"South","Female",25,"25-29",2014,481,12,4079311,0.000117912068974393,109.353100482642,3.33254631658437,0.217415707658539,119624037
"South","Female",25,"25-29",2015,539,12,4184137,0.000128819873727844,110.532651392005,-0.610919066586987,0.77193310236084,120997341
"South","Female",25,"25-29",2016,777,12,4294660,0.00018092235473821,110.532651392005,-0.170696698190355,0.500086591845701,122351760
"South","Female",25,"25-29",2017,885,12,4371249,0.000202459297102499,110.532651392005,-1.44676045252743,0.103453677669997,123542189
"South","Female",25,"25-29",2018,788,12,4397816,0.000179179847451553,110.532651392005,1.04639566328855,-1.02147989757838,124569433
"South","Female",25,"25-29",2019,787,12,4389441,0.000179293900977368,110.532651392005,-0.942399543903406,0.65694406044706,125580448
"South","Female",30,"30-34",2005,398,12,3653293,0.000108942808583927,109.11288991517,0.0803224629598199,0.0473991449783215,107411036
"South","Female",30,"30-34",2006,434,12,3586250,0.000121017776228651,109.11288991517,0.844165789508987,-1.0791602168847,108930843
"South","Female",30,"30-34",2007,468,12,3574090,0.000130942421707344,109.11288991517,-0.70380473604271,1.83713210407623,110573419
"South","Female",30,"30-34",2008,460,12,3601694,0.00012771767951414,109.11288991517,0.509731242693434,-1.25320762206405,112021022
"South","Female",30,"30-34",2009,499,12,3671079,0.00013592733907388,109.11288991517,-0.785201093870768,0.451063917619997,113317879
"South","Female",30,"30-34",2010,569,12,3763978,0.000151169852746217,109.353100482642,0.845943519749667,0.533433528433129,114866680
"South","Female",30,"30-34",2011,604,12,3853262,0.000156750306623323,109.353100482642,-4.76288261584156,3.27108356649789,116006522
"South","Female",30,"30-34",2012,635,12,3929995,0.000161577813712231,109.353100482642,3.0535838456337,-4.61037832480596,117241208
"South","Female",30,"30-34",2013,605,12,3998345,0.000151312605590563,109.353100482642,0.514617108699269,0.92826368518525,118364400
"South","Female",30,"30-34",2014,676,12,4046811,0.000167045112806108,109.353100482642,3.33254631658437,0.217415707658539,119624037
"South","Female",30,"30-34",2015,758,12,4075612,0.000185984338057695,110.532651392005,-0.610919066586987,0.77193310236084,120997341
"South","Female",30,"30-34",2016,899,12,4108565,0.000218811190768553,110.532651392005,-0.170696698190355,0.500086591845701,122351760
"South","Female",30,"30-34",2017,1027,12,4131075,0.000248603571709543,110.532651392005,-1.44676045252743,0.103453677669997,123542189
"South","Female",30,"30-34",2018,1029,12,4161210,0.000247283842920689,110.532651392005,1.04639566328855,-1.02147989757838,124569433
"South","Female",30,"30-34",2019,1075,12,4232006,0.000254016653095482,110.532651392005,-0.942399543903406,0.65694406044706,125580448
"South","Female",35,"35-39",2005,566,12,3793434,0.000149205179265014,109.11288991517,0.0803224629598199,0.0473991449783215,107411036
"South","Female",35,"35-39",2006,607,12,3855089,0.000157454211822347,109.11288991517,0.844165789508987,-1.0791602168847,108930843
"South","Female",35,"35-39",2007,635,12,3904765,0.00016262182231197,109.11288991517,-0.70380473604271,1.83713210407623,110573419
"South","Female",35,"35-39",2008,633,12,3919659,0.000161493640135532,109.11288991517,0.509731242693434,-1.25320762206405,112021022
"South","Female",35,"35-39",2009,633,12,3894038,0.000162556194880481,109.11288991517,-0.785201093870768,0.451063917619997,113317879
"South","Female",35,"35-39",2010,674,12,3838899,0.000175571172880558,109.353100482642,0.845943519749667,0.533433528433129,114866680
"South","Female",35,"35-39",2011,680,12,3753460,0.000181166177340374,109.353100482642,-4.76288261584156,3.27108356649789,116006522
"South","Female",35,"35-39",2012,654,12,3734481,0.000175124736208325,109.353100482642,3.0535838456337,-4.61037832480596,117241208
"South","Female",35,"35-39",2013,697,12,3749953,0.000185868996224753,109.353100482642,0.514617108699269,0.92826368518525,118364400
"South","Female",35,"35-39",2014,736,12,3802225,0.000193570869688143,109.353100482642,3.33254631658437,0.217415707658539,119624037
"South","Female",35,"35-39",2015,809,12,3890969,0.000207917359403275,110.532651392005,-0.610919066586987,0.77193310236084,120997341
"South","Female",35,"35-39",2016,1047,12,3991757,0.000262290515179155,110.532651392005,-0.170696698190355,0.500086591845701,122351760
"South","Female",35,"35-39",2017,1150,12,4069286,0.000282604859918914,110.532651392005,-1.44676045252743,0.103453677669997,123542189
"South","Female",35,"35-39",2018,1096,12,4141031,0.000264668388138123,110.532651392005,1.04639566328855,-1.02147989757838,124569433
"South","Female",35,"35-39",2019,1149,12,4184976,0.000274553545826786,110.532651392005,-0.942399543903406,0.65694406044706,125580448
"South","Female",40,"40-44",2005,815,12,4168623,0.000195508204987594,109.11288991517,0.0803224629598199,0.0473991449783215,107411036
"South","Female",40,"40-44",2006,902,12,4120335,0.00021891423876942,109.11288991517,0.844165789508987,-1.0791602168847,108930843
"South","Female",40,"40-44",2007,858,12,4057632,0.000211453379705207,109.11288991517,-0.70380473604271,1.83713210407623,110573419
"South","Female",40,"40-44",2008,881,12,3985002,0.000221078935468539,109.11288991517,0.509731242693434,-1.25320762206405,112021022
"South","Female",40,"40-44",2009,798,12,3920263,0.000203557771506657,109.11288991517,-0.785201093870768,0.451063917619997,113317879
"South","Female",40,"40-44",2010,783,12,3917683,0.000199863031286605,109.353100482642,0.845943519749667,0.533433528433129,114866680
"South","Female",40,"40-44",2011,872,12,3971924,0.00021954095798409,109.353100482642,-4.76288261584156,3.27108356649789,116006522
"South","Female",40,"40-44",2012,816,12,4006595,0.000203664208636011,109.353100482642,3.0535838456337,-4.61037832480596,117241208
"South","Female",40,"40-44",2013,817,12,4009321,0.000203775152949839,109.353100482642,0.514617108699269,0.92826368518525,118364400
"South","Female",40,"40-44",2014,914,12,3981629,0.000229554285444475,109.353100482642,3.33254631658437,0.217415707658539,119624037
"South","Female",40,"40-44",2015,940,12,3930556,0.000239151916420985,110.532651392005,-0.610919066586987,0.77193310236084,120997341
