Notes,Census Region,Census Region Code,Year,Year Code,Month,Month Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,85-89 years,85-89,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,90-94 years,90-94,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,95-99 years,95-99,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,100+ years,100+,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Jul., 1999",1999/07,Not Stated,NS,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,< 1 year,1,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,1-4 years,1-4,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,5-9 years,5-9,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,10-14 years,10-14,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,15-19 years,15-19,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,20-24 years,20-24,20,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,25-29 years,25-29,29,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,30-34 years,30-34,36,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,35-39 years,35-39,70,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,40-44 years,40-44,51,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,45-49 years,45-49,44,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,50-54 years,50-54,27,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,55-59 years,55-59,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,60-64 years,60-64,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,65-69 years,65-69,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,70-74 years,70-74,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,75-79 years,75-79,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,80-84 years,80-84,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,85-89 years,85-89,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,90-94 years,90-94,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,95-99 years,95-99,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,100+ years,100+,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Aug., 1999",1999/08,Not Stated,NS,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,< 1 year,1,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,1-4 years,1-4,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,5-9 years,5-9,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,10-14 years,10-14,0,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,15-19 years,15-19,Suppressed,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,20-24 years,20-24,20,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,25-29 years,25-29,22,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,30-34 years,30-34,37,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,35-39 years,35-39,47,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,40-44 years,40-44,68,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,45-49 years,45-49,38,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,50-54 years,50-54,30,Not Applicable,Not Applicable
NA,Census Region 1: Northeast,CENS-R1,1999,1999,"Sep., 1999",1999/09,55-59 years,55-59,Suppressed,Not Applicable,Not Applicable
