"Notes","Census Division","Census Division Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Division 1: New England","CENS-D1","2012","2012","Apr., 2012","2012/04","25-34 years","25-34",33,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Apr., 2012","2012/04","35-44 years","35-44",39,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Apr., 2012","2012/04","45-54 years","45-54",47,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Apr., 2012","2012/04","55-64 years","55-64",18,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Apr., 2012","2012/04","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Apr., 2012","2012/04","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Apr., 2012","2012/04","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Apr., 2012","2012/04","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","May, 2012","2012/05","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","May, 2012","2012/05","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","May, 2012","2012/05","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","May, 2012","2012/05","15-24 years","15-24",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","May, 2012","2012/05","25-34 years","25-34",33,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","May, 2012","2012/05","35-44 years","35-44",36,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","May, 2012","2012/05","45-54 years","45-54",54,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","May, 2012","2012/05","55-64 years","55-64",20,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","May, 2012","2012/05","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","May, 2012","2012/05","75-84 years","75-84",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","May, 2012","2012/05","85+ years","85+",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","May, 2012","2012/05","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Jun., 2012","2012/06","< 1 year","1",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Jun., 2012","2012/06","1-4 years","1-4",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Jun., 2012","2012/06","5-14 years","5-14",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Jun., 2012","2012/06","15-24 years","15-24",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Jun., 2012","2012/06","25-34 years","25-34",45,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Jun., 2012","2012/06","35-44 years","35-44",39,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Jun., 2012","2012/06","45-54 years","45-54",46,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Jun., 2012","2012/06","55-64 years","55-64",24,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Jun., 2012","2012/06","65-74 years","65-74",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Jun., 2012","2012/06","75-84 years","75-84",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Jun., 2012","2012/06","85+ years","85+",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Jun., 2012","2012/06","Not Stated","NS",0,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Jul., 2012","2012/07","< 1 year","1",Suppressed,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2012","2012","Jul., 2012","2012/07","1-4 years","1-4",0,Not Applicable,Not Applicable
