"Notes","Single-Year Ages","Single-Year Ages Code","Census Region","Census Region Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"42 years","42","Census Region 2: Midwest","CENS-R2",1754,775212,226.3,215.7,236.8,5.4
,"42 years","42","Census Region 3: South","CENS-R3",3623,1491404,242.9,235.0,250.8,4.0
,"42 years","42","Census Region 4: West","CENS-R4",1685,956805,176.1,167.7,184.5,4.3
,"43 years","43","Census Region 1: Northeast","CENS-R1",1321,665834,198.4,187.7,209.1,5.5
,"43 years","43","Census Region 2: Midwest","CENS-R2",1879,798483,235.3,224.7,246.0,5.4
,"43 years","43","Census Region 3: South","CENS-R3",3895,1537048,253.4,245.4,261.4,4.1
,"43 years","43","Census Region 4: West","CENS-R4",1807,978244,184.7,176.2,193.2,4.3
,"44 years","44","Census Region 1: Northeast","CENS-R1",1430,645348,221.6,210.1,233.1,5.9
,"44 years","44","Census Region 2: Midwest","CENS-R2",2033,769007,264.4,252.9,275.9,5.9
,"44 years","44","Census Region 3: South","CENS-R3",4097,1496506,273.8,265.4,282.2,4.3
,"44 years","44","Census Region 4: West","CENS-R4",1916,940294,203.8,194.6,212.9,4.7
,"45 years","45","Census Region 1: Northeast","CENS-R1",1566,657289,238.3,226.5,250.1,6.0
,"45 years","45","Census Region 2: Midwest","CENS-R2",2208,780081,283.0,271.2,294.9,6.0
,"45 years","45","Census Region 3: South","CENS-R3",4689,1527398,307.0,298.2,315.8,4.5
,"45 years","45","Census Region 4: West","CENS-R4",2046,939273,217.8,208.4,227.3,4.8
,"46 years","46","Census Region 1: Northeast","CENS-R1",1783,694162,256.9,244.9,268.8,6.1
,"46 years","46","Census Region 2: Midwest","CENS-R2",2538,823562,308.2,296.2,320.2,6.1
,"46 years","46","Census Region 3: South","CENS-R3",5203,1593875,326.4,317.6,335.3,4.5
,"46 years","46","Census Region 4: West","CENS-R4",2401,962860,249.4,239.4,259.3,5.1
,"47 years","47","Census Region 1: Northeast","CENS-R1",1979,744066,266.0,254.3,277.7,6.0
,"47 years","47","Census Region 2: Midwest","CENS-R2",2891,878470,329.1,317.1,341.1,6.1
,"47 years","47","Census Region 3: South","CENS-R3",5747,1668352,344.5,335.6,353.4,4.5
,"47 years","47","Census Region 4: West","CENS-R4",2632,1010430,260.5,250.5,270.4,5.1
,"48 years","48","Census Region 1: Northeast","CENS-R1",2174,766958,283.5,271.5,295.4,6.1
,"48 years","48","Census Region 2: Midwest","CENS-R2",2990,883514,338.4,326.3,350.6,6.2
,"48 years","48","Census Region 3: South","CENS-R3",6183,1664914,371.4,362.1,380.6,4.7
,"48 years","48","Census Region 4: West","CENS-R4",2835,1034328,274.1,264.0,284.2,5.1
,"49 years","49","Census Region 1: Northeast","CENS-R1",2268,736494,307.9,295.3,320.6,6.5
,"49 years","49","Census Region 2: Midwest","CENS-R2",3173,838394,378.5,365.3,391.6,6.7
,"49 years","49","Census Region 3: South","CENS-R3",6501,1567324,414.8,404.7,424.9,5.1
,"49 years","49","Census Region 4: West","CENS-R4",3066,975391,314.3,303.2,325.5,5.7
,"50 years","50","Census Region 1: Northeast","CENS-R1",2519,731644,344.3,330.8,357.7,6.9
,"50 years","50","Census Region 2: Midwest","CENS-R2",3327,821528,405.0,391.2,418.7,7.0
,"50 years","50","Census Region 3: South","CENS-R3",6786,1531302,443.2,432.6,453.7,5.4
,"50 years","50","Census Region 4: West","CENS-R4",3191,942000,338.7,327.0,350.5,6.0
,"51 years","51","Census Region 1: Northeast","CENS-R1",2797,741327,377.3,363.3,391.3,7.1
,"51 years","51","Census Region 2: Midwest","CENS-R2",3718,832131,446.8,432.4,461.2,7.3
,"51 years","51","Census Region 3: South","CENS-R3",7525,1528634,492.3,481.1,503.4,5.7
,"51 years","51","Census Region 4: West","CENS-R4",3503,922977,379.5,367.0,392.1,6.4
,"52 years","52","Census Region 1: Northeast","CENS-R1",3165,761006,415.9,401.4,430.4,7.4
,"52 years","52","Census Region 2: Midwest","CENS-R2",4202,849450,494.7,479.7,509.6,7.6
,"52 years","52","Census Region 3: South","CENS-R3",8352,1556393,536.6,525.1,548.1,5.9
,"52 years","52","Census Region 4: West","CENS-R4",3785,927230,408.2,395.2,421.2,6.6
