"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"50-54 years","50-54","2010","2010",2882,22298125,12.9,12.5,13.4,0.2
,"50-54 years","50-54","2011","2011",3059,22560198,13.6,13.1,14.0,0.2
,"50-54 years","50-54","2012","2012",3142,22579259,13.9,13.4,14.4,0.2
,"50-54 years","50-54","2013","2013",3347,22559226,14.8,14.3,15.3,0.3
,"50-54 years","50-54","2014","2014",3644,22570809,16.1,15.6,16.7,0.3
,"50-54 years","50-54","2015","2015",3883,22334317,17.4,16.8,17.9,0.3
,"50-54 years","50-54","2016","2016",4580,21839056,21.0,20.4,21.6,0.3
,"50-54 years","50-54","2017","2017",5127,21401094,24.0,23.3,24.6,0.3
,"50-54 years","50-54","2018","2018",4739,20884564,22.7,22.0,23.3,0.3
,"50-54 years","50-54","2019","2019",5059,20477151,24.7,24.0,25.4,0.3
,"50-54 years","50-54","2020","2020",6550,20395527,32.1,31.3,32.9,0.4
,"55-59 years","55-59","1999","1999",236,13084821,1.8,1.6,2.0,0.1
,"55-59 years","55-59","2000","2000",288,13469237,2.1,1.9,2.4,0.1
,"55-59 years","55-59","2001","2001",338,13968975,2.4,2.2,2.7,0.1
,"55-59 years","55-59","2002","2002",455,15143067,3.0,2.7,3.3,0.1
,"55-59 years","55-59","2003","2003",594,15814557,3.8,3.5,4.1,0.2
,"55-59 years","55-59","2004","2004",725,16607176,4.4,4.0,4.7,0.2
,"55-59 years","55-59","2005","2005",857,17503220,4.9,4.6,5.2,0.2
,"55-59 years","55-59","2006","2006",1161,18396860,6.3,5.9,6.7,0.2
,"55-59 years","55-59","2007","2007",1366,18454772,7.4,7.0,7.8,0.2
,"55-59 years","55-59","2008","2008",1532,18814568,8.1,7.7,8.6,0.2
,"55-59 years","55-59","2009","2009",1708,19280603,8.9,8.4,9.3,0.2
,"55-59 years","55-59","2010","2010",1840,19664805,9.4,8.9,9.8,0.2
,"55-59 years","55-59","2011","2011",2038,20255548,10.1,9.6,10.5,0.2
,"55-59 years","55-59","2012","2012",2196,20772517,10.6,10.1,11.0,0.2
,"55-59 years","55-59","2013","2013",2554,21194430,12.1,11.6,12.5,0.2
,"55-59 years","55-59","2014","2014",2975,21511449,13.8,13.3,14.3,0.3
,"55-59 years","55-59","2015","2015",3310,21807942,15.2,14.7,15.7,0.3
,"55-59 years","55-59","2016","2016",4065,21980108,18.5,17.9,19.1,0.3
,"55-59 years","55-59","2017","2017",4523,22007956,20.6,20.0,21.2,0.3
,"55-59 years","55-59","2018","2018",4437,21940985,20.2,19.6,20.8,0.3
,"55-59 years","55-59","2019","2019",4802,21877391,21.9,21.3,22.6,0.3
,"55-59 years","55-59","2020","2020",6212,21603099,28.8,28.0,29.5,0.4
,"60-64 years ","60-64","1999","1999",118,10693205,1.1,0.9,1.3,0.1
