"Notes","Ten-Year Age Groups","Ten-Year Age Groups Code","Sex","Sex Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"35-44 years","35-44","Female","F","2008","2008",1694,21195733,8.0,7.6,8.4,0.2
,"35-44 years","35-44","Female","F","2009","2009",1657,20841610,8.0,7.6,8.3,0.2
,"35-44 years","35-44","Female","F","2010","2010",1753,20634607,8.5,8.1,8.9,0.2
,"35-44 years","35-44","Female","F","2011","2011",1902,20404484,9.3,8.9,9.7,0.2
,"35-44 years","35-44","Female","F","2012","2012",1801,20342813,8.9,8.4,9.3,0.2
,"35-44 years","35-44","Female","F","2013","2013",1980,20307429,9.8,9.3,10.2,0.2
,"35-44 years","35-44","Female","F","2014","2014",2285,20353904,11.2,10.8,11.7,0.2
,"35-44 years","35-44","Female","F","2015","2015",2540,20386206,12.5,12.0,12.9,0.2
,"35-44 years","35-44","Female","F","2016","2016",3046,20317393,15.0,14.5,15.5,0.3
,"35-44 years","35-44","Female","F","2017","2017",3386,20506270,16.5,16.0,17.1,0.3
,"35-44 years","35-44","Female","F","2018","2018",3409,20690288,16.5,15.9,17.0,0.3
,"35-44 years","35-44","Female","F","2019","2019",3536,20867064,16.9,16.4,17.5,0.3
,"35-44 years","35-44","Female","F","2020","2020",5028,21090324,23.8,23.2,24.5,0.3
"Total","35-44 years","35-44","Female","F",,,45790,467707735,9.8,9.7,9.9,0.0
,"35-44 years","35-44","Male","M","1999","1999",2440,22407073,10.9,10.5,11.3,0.2
,"35-44 years","35-44","Male","M","2000","2000",2404,22447798,10.7,10.3,11.1,0.2
,"35-44 years","35-44","Male","M","2001","2001",2458,22409323,11.0,10.5,11.4,0.2
,"35-44 years","35-44","Male","M","2002","2002",2857,22201194,12.9,12.4,13.3,0.2
,"35-44 years","35-44","Male","M","2003","2003",2848,21947503,13.0,12.5,13.5,0.2
,"35-44 years","35-44","Male","M","2004","2004",2732,21784541,12.5,12.1,13.0,0.2
,"35-44 years","35-44","Male","M","2005","2005",2661,21640195,12.3,11.8,12.8,0.2
,"35-44 years","35-44","Male","M","2006","2006",3050,21516190,14.2,13.7,14.7,0.3
,"35-44 years","35-44","Male","M","2007","2007",3013,21294228,14.1,13.6,14.7,0.3
,"35-44 years","35-44","Male","M","2008","2008",3019,20996753,14.4,13.9,14.9,0.3
,"35-44 years","35-44","Male","M","2009","2009",3047,20646201,14.8,14.2,15.3,0.3
,"35-44 years","35-44","Male","M","2010","2010",3008,20435999,14.7,14.2,15.2,0.3
,"35-44 years","35-44","Male","M","2011","2011",3154,20223470,15.6,15.1,16.1,0.3
,"35-44 years","35-44","Male","M","2012","2012",3285,20173607,16.3,15.7,16.8,0.3
,"35-44 years","35-44","Male","M","2013","2013",3409,20145261,16.9,16.4,17.5,0.3
,"35-44 years","35-44","Male","M","2014","2014",4053,20159229,20.1,19.5,20.7,0.3
,"35-44 years","35-44","Male","M","2015","2015",4944,20203577,24.5,23.8,25.2,0.3
,"35-44 years","35-44","Male","M","2016","2016",6701,20152763,33.3,32.5,34.0,0.4
,"35-44 years","35-44","Male","M","2017","2017",7763,20369100,38.1,37.3,39.0,0.4
,"35-44 years","35-44","Male","M","2018","2018",8005,20587600,38.9,38.0,39.7,0.4
,"35-44 years","35-44","Male","M","2019","2019",8889,20792080,42.8,41.9,43.6,0.5
