Census_Division,Year,rate_health_care_coverage,rate_alochol_consum,socio_score,rate_health_care_coverage_pw,rate_alochol_consum_pw
West North Central,2005,88.93091205107936,55.91340489561031,113.2728684288463,0.08893086758565669,0.05591337693892883
West North Central,2006,88.4729771847726,54.46643570354977,113.2728684288463,-0.45793486630873015,-1.446969192066768
West North Central,2007,88.64998128160816,55.29807830658522,113.2728684288463,0.17700409683556018,0.8316426030354478
West North Central,2008,88.70706707546597,56.42075068075754,113.2728684288463,0.05708579385780865,1.1226723741723248
West North Central,2009,88.92252152474772,55.623375227174456,113.2728684288463,0.21545444928175073,-0.7973754535830864
West North Central,2010,88.00176827118605,54.35429039801014,114.248644192982,-0.9207532535616707,-1.2690848291643135
West North Central,2011,85.53454330617681,57.86239965641957,114.248644192982,-2.467224965009237,3.5081092584094264
West North Central,2012,86.04101748478182,55.7439353178058,114.248644192982,0.5064741786050035,-2.1184643386137694
West North Central,2013,86.80628122599128,55.73423558389987,114.248644192982,0.7652637412094663,-0.009699733905932817
West North Central,2014,89.42342019763944,54.68144406910808,114.248644192982,2.61713897164816,-1.0527915147917852
West North Central,2015,90.52998780158444,56.180215225812034,114.18060432248112,1.1065676039449954,1.4987711567039526
West North Central,2016,90.69539909535426,58.217176618430855,114.18060432248112,0.16541129376982155,2.036961392618821
West North Central,2017,89.6722512492991,57.60790986002913,114.18060432248112,-1.023147846055167,-0.6092667584017235
West North Central,2018,89.67127491441431,56.93559874570035,114.18060432248112,-9.763348847826592e-4,-0.6723111143287852
West North Central,2019,89.24728315162672,57.175417039393096,114.18060432248112,-0.423991762787594,0.23981829369274976
West South Central,2005,73.87768987765959,47.3690345069704,100.83547582087662,0.07387765293884235,0.04736901082247091
West South Central,2006,75.93031307709788,46.80262818238606,100.83547582087662,2.052623199447128,-0.5664063245867819
West South Central,2007,75.98257707502174,46.7979113829465,100.83547582087662,0.05226399792385905,-0.004716799439556496
West South Central,2008,76.45582150320895,46.94695023692006,100.83547582087662,0.4732444281872148,0.14903885397355765
West South Central,2009,76.48866277696183,49.168322828802125,100.83547582087662,0.032841273752879374,2.2213725918820657
West South Central,2010,77.73293292926857,47.83326439147567,103.43470531714314,1.2442701523067399,-1.3350584373264525
West South Central,2011,72.39143710876503,51.85508149595537,103.43470531714314,-5.341495820503539,4.021817104479695
West South Central,2012,72.23150102581852,47.91635197971744,103.43470531714314,-0.1599360829465155,-3.9387295162379274
West South Central,2013,74.16198083376324,47.780114415524245,103.43470531714314,1.930479807944721,-0.13623756419319477
West South Central,2014,77.62178441602515,46.908646253925966,103.43470531714314,3.4598035822619124,-0.8714681615982798
West South Central,2015,79.3852444934467,48.20704706998821,104.16307841952104,1.7634600774215556,1.298400816062241
West South Central,2016,80.79996623030306,48.92734505892536,104.16307841952104,1.4147217368563503,0.7202979889371548
West South Central,2017,79.35167674248557,49.81887817620385,104.16307841952104,-1.4482894878174903,0.8915331172784917
West South Central,2018,80.28780583903047,50.00394219202569,104.16307841952104,0.936129096544903,0.18506401582183685
West South Central,2019,79.16262169231736,50.2220652273726,104.16307841952104,-1.12518414671311,0.21812303534691324
