year,census_region,sex,age5,population
2009,North Central,Female,0-4,2124398
2009,North Central,Female,10-14,2216124
2009,North Central,Female,15-19,2367965
2009,North Central,Female,20-24,2248494
2009,North Central,Female,25-29,2198322
2009,North Central,Female,30-34,2047045
2009,North Central,Female,35-39,2135202
2009,North Central,Female,40-44,2225102
2009,North Central,Female,45-49,2537348
2009,North Central,Female,5-9,2163975
2009,North Central,Female,50-54,2510501
2009,North Central,Female,55-59,2210807
2009,North Central,Female,60-64,1808600
2009,North Central,Female,65-69,1386832
2009,North Central,Female,70-74,1096711
2009,North Central,Female,75-79,938424
2009,North Central,Female,80-84,808284
2009,North Central,Female,85+,889873
2009,North Central,Male,0-4,2216192
2009,North Central,Male,10-14,2322083
2009,North Central,Male,15-19,2493250
2009,North Central,Male,20-24,2321808
2009,North Central,Male,25-29,2226091
2009,North Central,Male,30-34,2071019
2009,North Central,Male,35-39,2136745
2009,North Central,Male,40-44,2215213
2009,North Central,Male,45-49,2490390
2009,North Central,Male,5-9,2263688
2009,North Central,Male,50-54,2447567
2009,North Central,Male,55-59,2128610
2009,North Central,Male,60-64,1702121
2009,North Central,Male,65-69,1240492
2009,North Central,Male,70-74,919996
2009,North Central,Male,75-79,704305
2009,North Central,Male,80-84,529550
2009,North Central,Male,85+,405310
2009,Northeast,Female,0-4,1578996
2009,Northeast,Female,10-14,1721876
2009,Northeast,Female,15-19,1919120
2009,Northeast,Female,20-24,1858289
2009,Northeast,Female,25-29,1806981
2009,Northeast,Female,30-34,1707179
2009,Northeast,Female,35-39,1832098
2009,Northeast,Female,40-44,2008600
2009,Northeast,Female,45-49,2202756
2009,Northeast,Female,5-9,1632573
2009,Northeast,Female,50-54,2134627
2009,Northeast,Female,55-59,1865120
2009,Northeast,Female,60-64,1581836
2009,Northeast,Female,65-69,1198101
2009,Northeast,Female,70-74,939716
2009,Northeast,Female,75-79,825567
2009,Northeast,Female,80-84,735549
2009,Northeast,Female,85+,810265
2009,Northeast,Male,0-4,1651779
2009,Northeast,Male,10-14,1804077
2009,Northeast,Male,15-19,2015640
2009,Northeast,Male,20-24,1907466
2009,Northeast,Male,25-29,1790434
2009,Northeast,Male,30-34,1668748
2009,Northeast,Male,35-39,1772302
2009,Northeast,Male,40-44,1932365
2009,Northeast,Male,45-49,2108106
2009,Northeast,Male,5-9,1703688
2009,Northeast,Male,50-54,2028419
2009,Northeast,Male,55-59,1739689
2009,Northeast,Male,60-64,1432333
2009,Northeast,Male,65-69,1032104
2009,Northeast,Male,70-74,756510
2009,Northeast,Male,75-79,603155
2009,Northeast,Male,80-84,461426
2009,Northeast,Male,85+,365611
2009,South,Female,0-4,3763288
2009,South,Female,10-14,3733518
2009,South,Female,15-19,3960040
2009,South,Female,20-24,3885583
2009,South,Female,25-29,3908162
2009,South,Female,30-34,3671079
2009,South,Female,35-39,3894038
2009,South,Female,40-44,3920263
2009,South,Female,45-49,4264572
2009,South,Female,5-9,3715789
2009,South,Female,50-54,4088030
2009,South,Female,55-59,3644918
2009,South,Female,60-64,3149563
2009,South,Female,65-69,2452834
2009,South,Female,70-74,1896764
2009,South,Female,75-79,1532696
2009,South,Female,80-84,1220977
2009,South,Female,85+,1203875
2009,South,Male,0-4,3921816
2009,South,Male,10-14,3911987
2009,South,Male,15-19,4160638
2009,South,Male,20-24,4028706
